day,h,t,rh,ws,wd,vis
2021-03-23,0,5.9,46.5,1.0,360.0,10.0
2021-03-23,3,3.3,54.5,0.0,0.0,10.0
2021-03-23,6,4.5,82.0,2.0,140.0,4.5
2021-03-23,9,5.9,95.9,1.0,140.0,3.5
2021-03-23,12,11.4,84.0,3.0,140.0,4.5
2021-03-23,15,13.5,76.2,3.0,230.0,4.5
2021-03-23,18,11.1,67.9,4.0,230.0,10.0
2021-03-23,21,7.8,78.5,1.0,180.0,10.0
2021-03-24,0,6.9,83.5,2.0,90.0,10.0
2021-03-24,3,7.3,87.7,2.0,140.0,10.0
2021-03-24,6,6.9,89.5,2.0,140.0,10.0
2021-03-24,9,7.2,88.3,2.0,140.0,4.5
2021-03-24,12,8.8,86.7,3.0,140.0,10.0
2021-03-24,15,9.7,85.6,4.0,90.0,10.0
2021-03-24,18,9.1,83.8,1.0,140.0,15.0
2021-03-24,21,8.6,86.0,1.0,90.0,10.0
2021-03-25,0,8.1,87.2,1.0,140.0,10.0
2021-03-25,3,7.5,89.6,0.0,0.0,10.0
2021-03-25,6,6.9,92.7,1.0,140.0,10.0
2021-03-25,9,8.1,91.5,2.0,180.0,4.5
2021-03-25,12,11.0,81.7,2.0,180.0,4.5
2021-03-25,15,11.8,78.0,2.0,180.0,10.0
2021-03-25,18,9.5,87.3,2.0,140.0,4.5
2021-03-25,21,7.0,94.0,0.0,0.0,3.5
2021-03-26,0,6.2,94.6,0.0,0.0,0.2
2021-03-26,3,5.3,95.2,0.0,0.0,0.2
2021-03-26,6,3.9,93.2,2.0,180.0,3.5
2021-03-26,9,4.7,90.0,0.0,0.0,3.5
2021-03-26,12,8.8,74.4,0.0,0.0,10.0
2021-03-26,15,12.9,69.2,3.0,230.0,10.0
2021-03-26,18,12.4,62.3,0.0,0.0,4.5
2021-03-26,21,9.5,64.7,0.0,0.0,10.0
2021-03-27,0,9.1,69.4,0.0,0.0,10.0
2021-03-27,3,8.8,68.8,1.0,270.0,10.0
2021-03-27,6,10.1,55.9,2.0,90.0,10.0
2021-03-27,9,10.7,69.7,2.0,50.0,4.9
2021-03-27,12,10.3,71.1,2.0,50.0,4.9
2021-03-27,15,8.9,95.4,6.0,90.0,4.5
2021-03-27,18,11.3,94.2,5.0,140.0,4.5
2021-03-27,21,10.9,93.5,5.0,230.0,4.5
2021-03-28,0,11.7,93.6,4.0,140.0,4.5
2021-03-28,3,9.1,96.7,2.0,140.0,4.5
2021-03-28,6,9.9,94.8,3.0,320.0,4.5
2021-03-28,9,8.9,97.3,6.0,360.0,10.0
2021-03-28,12,10.4,93.5,5.0,270.0,15.0
2021-03-28,15,10.7,96.1,5.0,230.0,10.0
2021-03-28,18,8.6,92.8,2.0,270.0,4.5
2021-03-28,21,6.9,81.2,3.0,180.0,0.3
2021-03-29,0,7.4,97.3,0.0,0.0,3.5
2021-03-29,3,7.9,96.0,1.0,320.0,4.5
2021-03-29,6,6.7,92.7,4.0,320.0,4.5
2021-03-29,9,8.8,89.1,0.0,0.0,4.5
2021-03-29,12,12.8,48.8,1.0,320.0,4.5
2021-03-29,15,14.0,40.8,5.0,320.0,10.0
2021-03-29,18,12.5,40.1,5.0,320.0,10.0
